date_time,cash
2018-01-09,623135
2018-01-10,418931
2018-01-11,1376950
2018-01-12,1013316
2018-01-13,338827
2018-01-15,2319380
2018-01-16,1244520
2018-01-17,1864502
2018-01-18,1956708
2018-01-19,3042013
2018-01-20,1367478
2018-01-22,894724
2018-01-23,1459869
2018-01-24,2322419
2018-01-25,1446388
2018-01-26,1811600
2018-01-27,216770
2018-01-29,2401591
2018-01-30,1903019
2018-01-31,1763342
2018-02-01,2383504
2018-02-02,2307341
2018-02-05,2258251
2018-02-06,2072631
2018-02-07,2946912
2018-02-08,2015332
2018-02-09,1913468
2018-02-10,807011
2018-02-12,531558
2018-02-13,1934747
2018-02-14,1875880
2018-02-15,2749513
2018-02-16,1915354
2018-02-17,25133
2018-02-19,917031
2018-02-20,695235
2018-02-21,575855
2018-02-22,659703
2018-02-26,1085736
2018-02-27,1253019
2018-02-28,924581
2018-03-01,513687
2018-03-02,242084
2018-03-03,29216
2018-03-05,184254
2018-03-06,278782
2018-03-07,412648
2018-03-12,102856
2018-03-13,648110
2018-03-14,280980
2018-03-15,423363
2018-03-16,246301
2018-03-19,141022
2018-03-20,666332
2018-03-21,180136
2018-03-22,44419
2018-03-23,312360
2018-03-24,284471
2018-03-26,353115
2018-03-27,39270
2018-03-28,236246
2018-03-29,109013
2018-03-30,68487
2018-03-31,7540
2018-04-02,15080
2018-04-03,175710
2018-04-04,74845
2018-04-05,38641
2018-04-06,493733
2018-04-07,96918
2018-04-09,121695
2018-04-10,298923
2018-04-11,242059
2018-04-12,253953
2018-04-13,303477
2018-04-14,76184
2018-04-16,106029
2018-04-17,234707
2018-04-18,145899
2018-04-19,368510
2018-04-20,156563
2018-04-21,30066
2018-04-23,121859
2018-04-24,196785
2018-04-25,198862
2018-04-26,162385
2018-04-27,117651
2018-04-28,96448
2018-05-03,67859
2018-05-04,71314
2018-05-05,68172
2018-05-07,148877
2018-05-08,36443
2018-05-10,172944
2018-05-11,31856
2018-05-14,316199
2018-05-15,282623
2018-05-16,34558
2018-05-17,72477
2018-05-18,119064
2018-05-19,280545
2018-05-21,135872
2018-05-23,463416
2018-05-24,132698
2018-05-25,65031
2018-05-28,152994
2018-05-29,68487
2018-05-30,73199
2018-05-31,71001
2018-06-01,7540
2018-06-04,38675
2018-06-05,79954
2018-06-06,125976
2018-06-07,83377
2018-06-08,63773
2018-06-09,38956
2018-06-13,105243
2018-06-14,41155
2018-06-16,258113
2018-06-18,267191
2018-06-19,80425
2018-06-20,208310
2018-06-21,210486
2018-06-22,120952
2018-06-26,511027
2018-06-27,225566
2018-06-28,1140712
2018-06-29,427256
2018-07-03,436681
2018-07-04,256354
2018-07-05,893156
2018-07-06,188810
2018-07-09,235619
2018-07-10,377620
2018-07-11,804562
2018-07-12,395527
2018-07-13,226823
2018-07-16,188810
2018-07-17,402438
2018-07-18,1702117
2018-07-19,213314
2018-07-20,352767
2018-07-23,565487
2018-07-24,995256
2018-07-25,1037511
2018-07-26,844617
2018-07-27,188810
2018-07-30,445444
2018-07-31,1093746
2018-08-01,1490373
2018-08-02,402404
2018-08-03,594
2018-08-06,808925
2018-08-07,2442589
2018-08-08,838806
2018-08-09,402438
2018-08-10,559518
2018-08-13,2546802
2018-08-14,1202288
2018-08-15,2295223
2018-08-16,2160790
2018-08-17,423330
2018-08-20,1244855
2018-08-21,1893437
2018-08-22,402124
2018-08-23,1490838
2018-08-24,928339
2018-08-25,399296
2018-08-27,1467558
2018-08-28,1848429
2018-08-29,4594533
2018-08-30,5369440
2018-08-31,1352605
2018-09-01,539097
2018-09-03,2208328
2018-09-04,1785996
2018-09-05,4133237
2018-09-06,7100324
2018-09-07,5058687
2018-09-08,2057762
2018-09-10,3024886
2018-09-11,2645891
2018-09-12,1810156
2018-09-13,1312626
2018-09-14,2879084
2018-09-15,182336
2018-09-17,464321
2018-09-18,182526
2018-09-19,1124365
2018-09-20,1765859
2018-09-21,502969
2018-09-24,228698
2018-09-25,1234801
2018-09-26,363169
2018-09-27,332380
2018-09-28,467906
2018-10-01,546481
2018-10-02,934870
2018-10-03,260125
2018-10-04,569698
2018-10-05,656597
2018-10-06,278418
2018-10-08,270335
2018-10-09,575354
2018-10-10,874410
2018-10-11,611830
2018-10-12,457890
2018-10-13,20735
2018-10-15,260913
2018-10-16,345418
2018-10-17,550724
2018-10-19,332070
2018-10-20,112156
2018-10-22,61241
2018-10-23,86045
2018-10-24,188968
2018-10-25,136974
2018-10-26,105871
2018-10-29,105536
2018-10-30,168390
2018-10-31,449191
2018-11-01,441012
2018-11-02,149505
2018-11-03,256005
2018-11-06,476574
2018-11-07,523200
2018-11-08,226195
2018-11-09,211320
2018-11-10,42097
2018-11-12,73041
2018-11-13,252546
2018-11-14,155959
2018-11-15,174516
2018-11-19,408720
2018-11-20,329865
2018-11-21,5183
2018-11-22,37856
2018-11-23,281173
2018-11-24,231221
2018-11-26,243943
2018-11-27,35657
2018-11-28,71314
2018-11-29,251150
2018-11-30,118438
2018-12-04,135403
2018-12-05,148094
2018-12-06,159906
2018-12-07,282741
2018-12-08,42097
2018-12-10,271747
2018-12-11,74749
2018-12-12,226349
2018-12-13,399261
2018-12-14,468500
2018-12-15,247557
2018-12-17,32652
2018-12-18,35185
2018-12-19,73042
2018-12-20,287140
2018-12-21,551821
2018-12-22,417361
2018-12-24,294837
2018-12-25,109954
2018-12-26,159593
2018-12-27,544280
2018-12-28,891581
2018-12-29,323740
2019-01-09,487098
2019-01-10,687381
2019-01-11,885748
2019-01-12,1231623
2019-01-14,1197417
2019-01-15,314
2019-01-16,3772232
2019-01-17,1812854
2019-01-18,623291
2019-01-19,937452
2019-01-21,1313185
2019-01-22,3388671
